"Sampling_ID","Gear_ID"
"ACHI_N_01","N1"
"ACHI_N_02","N2"
"ACHI_N_03","N3"
"ACHI_N_04","N4"
"ACHI_N_05","N5"
"ACHI_N_06","N6"
"ACHI_N_07","N7"
"ACHI_N_09","N9"
"ACHI_N_11","N11"
"ACHI_N_12","N12"
"ACHI_N_13","N13"
"ACHI_N_14","N14"
"ACHI_N_15","N15"
"ACHI_N_16","N16"
"ACHI_N_17","N17"
"ACHI_S_01","S1"
"ACHI_S_02","S1"
"ACHI_S_03","S1"
"ACHI_S_04","S1"
"ACHI_S_05","S1"
"ACHI_S_06","S1"
"ACHI_S_07","S1"
"ACHI_S_08","S1"
"BEAV_N_01","N1"
"BEAV_N_02","N2"
"BEAV_N_03","N3"
"BEAV_N_04","N4"
"BEAV_N_05","N5"
"BEAV_N_06","N6"
"BEAV_N_06","N6"
"BEAV_N_07","N7"
"BEAV_N_11","N11"
"BEAV_N_12","N12"
"BEAV_N_13","N13"
"BEAV_N_14","N14"
"BEAV_N_15","N15"
"BEAV_N_16","N16"
"BEAV_N_17","N17"
"BEAV_S_01","S1"
"BEAV_S_02","S1"
"BEAV_S_03","S1"
"BEAV_S_04","S1"
"COEU_N_01","N1"
"COEU_N_02","N2"
"COEU_N_03","N3"
"COEU_N_04","N4"
"COEU_N_05","N5"
"COEU_N_06","N6"
"COEU_N_07","N7"
"COEU_N_09","N9"
"COEU_N_11","N11"
"COEU_N_12","N12"
"COEU_N_13","N13"
"COEU_N_14","N14"
"COEU_N_15","N15"
"COEU_N_16","N16"
"COEU_N_17","N17"
"COEU_S_01","S1"
"COEU_S_02","S1"
"COEU_S_03","S1"
"COEU_S_04","S1"
"COEU_S_05","S1"
"COEU_S_06","S1"
"CORN_N_01","N1"
"CORN_N_02","N2"
"CORN_N_03","N3"
"CORN_N_04","N4"
"CORN_N_05","N5"
"CORN_N_06","N6"
"CORN_N_07","N7"
"CORN_N_09","N9"
"CORN_N_11","N11"
"CORN_N_12","N12"
"CORN_N_13","N13"
"CORN_N_14","N14"
"CORN_N_15","N15"
"CORN_N_16","N16"
"CORN_N_17","N17"
"CORN_S_01","S1"
"CORN_S_02","S1"
"CORN_S_03","S1"
"CORN_S_04","S1"
"CORR_N_01","N1"
"CORR_N_02","N2"
"CORR_N_03","N3"
"CORR_N_04","N4"
"CORR_N_05","N5"
"CORR_N_06","N6"
"CORR_N_07","N7"
"CORR_N_08","N8"
"CORR_N_09","N9"
"CORR_N_10","N10"
"CORR_N_11","N11"
"CORR_N_12","N12"
"CORR_N_13","N13"
"CORR_N_14","N14"
"CORR_N_15","N15"
"CORR_S_01","S1"
"CORR_S_02","S1"
"CORR_S_03","S1"
"CORR_S_04","S1"
"CROC_N_01","N1"
"CROC_N_02","N2"
"CROC_N_03","N3"
"CROC_N_04","N4"
"CROC_N_05","N5"
"CROC_N_06","N6"
"CROC_N_07","N7"
"CROC_N_09","N9"
"CROC_N_11","N11"
"CROC_N_12","N12"
"CROC_N_13","N13"
"CROC_N_14","N14"
"CROC_N_15","N15"
"CROC_N_16","N16"
"CROC_N_17","N17"
"CROC_S_01","S1"
"CROC_S_02","S1"
"CROC_S_04","S1"
"CROC_S_05","S1"
"CROM_N_01","N1"
"CROM_N_02","N2"
"CROM_N_03","N3"
"CROM_N_04","N4"
"CROM_N_05","N5"
"CROM_N_06","N6"
"CROM_N_07","N7"
"CROM_N_09","N9"
"CROM_N_11","N11"
"CROM_N_12","N12"
"CROM_N_13","N13"
"CROM_N_14","N14"
"CROM_N_15","N15"
"CROM_N_16","N16"
"CROM_N_17","N17"
"CROM_S_01","S1"
"CROM_S_02","S1"
"CROM_S_03","S1"
"CROM_S_04","S1"
"CROM_S_05","S1"
"ECHO_N_01","N1"
"ECHO_N_02","N2"
"ECHO_N_03","N3"
"ECHO_N_04","N4"
"ECHO_N_05","N5"
"ECHO_N_06","N6"
"ECHO_N_07","N7"
"ECHO_N_09","N9"
"ECHO_N_11","N11"
"ECHO_N_12","N12"
"ECHO_N_13","N13"
"ECHO_N_14","N14"
"ECHO_N_15","N15"
"ECHO_N_16","N16"
"ECHO_N_17","N17"
"ECHO_S_01","S1"
"ECHO_S_02","S1"
"ECHO_S_03","S1"
"ECHO_S_04","S1"
"ECHO_S_05","S1"
"ECHO_S_06","S1"
"ECHO_S_07","S1"
"FOUR_N_01","N1"
"FOUR_N_02","N2"
"FOUR_N_03","N3"
"FOUR_N_04","N4"
"FOUR_N_05","N5"
"FOUR_N_06","N6"
"FOUR_N_07","N7"
"FOUR_N_09","N9"
"FOUR_N_11","N11"
"FOUR_N_12","N12"
"FOUR_N_13","N13"
"FOUR_N_14","N14"
"FOUR_N_15","N15"
"FOUR_N_16","N16"
"FOUR_N_17","N17"
"FOUR_S_01","S1"
"FOUR_S_02","S1"
"FOUR_S_03","S1"
"FOUR_S_04","S1"
"FOUR_S_05","S1"
"MONT_N_01","N1"
"MONT_N_02","N2"
"MONT_N_03","N3"
"MONT_N_04","N4"
"MONT_N_05","N5"
"MONT_N_06","N6"
"MONT_N_07","N7"
"MONT_N_09","N9"
"MONT_N_11","N11"
"MONT_N_12","N12"
"MONT_N_13","N13"
"MONT_N_14","N14"
"MONT_N_15","N15"
"MONT_N_16","N16"
"MONT_N_17","N17"
"MONT_S_01","S1"
"MONT_S_02","S1"
"MONT_S_03","S1"
"MONT_S_04","S1"
"MONT_S_05","S1"
"MORE_N_01","N1"
"MORE_N_02","N2"
"MORE_N_03","N3"
"MORE_N_04","N4"
"MORE_N_05","N5"
"MORE_N_06","N6"
"MORE_N_07","N7"
"MORE_N_09","N9"
"MORE_N_11","N11"
"MORE_N_12","N12"
"MORE_N_13","N13"
"MORE_N_14","N14"
"MORE_N_15","N15"
"MORE_N_16","N16"
"MORE_N_17","N17"
"MORE_S_01","S1"
"MORE_S_02","S1"
"MORE_S_03","S1"
"MORE_S_04","S1"
"MORE_S_05","S1"
"MORE_S_06","S1"
"PINR_N_01","N1"
"PINR_N_02","N2"
"PINR_N_03","N3"
"PINR_N_04","N4"
"PINR_N_05","N5"
"PINR_N_06","N6"
"PINR_N_07","N7"
"PINR_N_09","N9"
"PINR_N_11","N11"
"PINR_N_12","N12"
"PINR_N_13","N13"
"PINR_N_14","N14"
"PINR_N_15","N15"
"PINR_N_16","N16"
"PINR_N_17","N17"
"PINR_S_01","S1"
"PINR_S_02","S1"
"PINR_S_03","S1"
"PINR_S_04","S1"
"PINR_S_05","S1"
"STON_N_01","N1"
"STON_N_02","N2"
"STON_N_03","N3"
"STON_N_04","N4"
"STON_N_05","N5"
"STON_N_06","N6"
"STON_N_07","N7"
"STON_N_08","N8"
"STON_N_09","N9"
"STON_N_10","N10"
"STON_N_11","N11"
"STON_N_12","N12"
"STON_N_13","N13"
"STON_N_14","N14"
"STON_N_15","N15"
"STON_S_01","S1"
"STON_S_02","S1"
"STON_S_03","S1"
"STON_S_04","S1"
"TRAC_N_01","N1"
"TRAC_N_02","N2"
"TRAC_N_03","N3"
"TRAC_N_04","N4"
"TRAC_N_05","N5"
"TRAC_N_06","N6"
"TRAC_N_07","N7"
"TRAC_N_09","N9"
"TRAC_N_11","N11"
"TRAC_N_12","N12"
"TRAC_N_13","N13"
"TRAC_N_14","N14"
"TRAC_N_15","N15"
"TRAC_N_16","N16"
"TRAC_N_17","N17"
"TRAC_S_01","S1"
"TRAC_S_02","S1"
"TRAC_S_03","S1"
"TRAC_S_04","S1"
"TRIT_N_01","N1"
"TRIT_N_02","N2"
"TRIT_N_03","N3"
"TRIT_N_04","N4"
"TRIT_N_05","N5"
"TRIT_N_06","N6"
"TRIT_N_07","N7"
"TRIT_N_09","N9"
"TRIT_N_11","N11"
"TRIT_N_12","N12"
"TRIT_N_13","N13"
"TRIT_N_14","N14"
"TRIT_N_15","N15"
"TRIT_N_16","N16"
"TRIT_N_17","N17"
"TRIT_S_01","S1"
"TRIT_S_02","S1"
"TRIT_S_03","S1"
"TRIT_S_04","S1"
